system,T,seed,task,variant,has_tag,ctx_tokens,success,hit1,rr,latency_ms,cost_usd
SYNAPSE,300,2,task_005::perturbed_0,perturbed_0,1,984,1.0,1.0,1.0,1.4518999960273504,0.00738
MCP,300,2,task_005::perturbed_0,perturbed_0,1,21193,1.0,0.0,0.5,1.8357999942963943,0.15894750000000002
SYNAPSE,300,2,task_005::perturbed_1,perturbed_1,0,986,1.0,1.0,1.0,1.3907999964430928,0.0073950000000000005
MCP,300,2,task_005::perturbed_1,perturbed_1,0,21193,1.0,1.0,1.0,1.7780999914975837,0.15894750000000002
SYNAPSE,300,2,task_006::clean,clean,1,1009,1.0,1.0,1.0,1.1735000007320195,0.0075675000000000004
MCP,300,2,task_006::clean,clean,1,21193,1.0,1.0,1.0,1.74529998912476,0.15894750000000002
SYNAPSE,300,2,task_006::perturbed_0,perturbed_0,1,1009,1.0,1.0,1.0,1.0493000008864328,0.0075675000000000004
MCP,300,2,task_006::perturbed_0,perturbed_0,1,21193,1.0,1.0,1.0,1.7114000074798241,0.15894750000000002
SYNAPSE,300,2,task_006::perturbed_1,perturbed_1,1,1002,1.0,0.0,0.3333333333333333,1.3153999898349866,0.007515000000000001
MCP,300,2,task_006::perturbed_1,perturbed_1,1,21193,1.0,0.0,0.3333333333333333,1.7948000022443011,0.15894750000000002
SYNAPSE,300,2,task_007::clean,clean,1,957,1.0,1.0,1.0,1.3503999944077805,0.007177500000000001
MCP,300,2,task_007::clean,clean,1,21193,1.0,1.0,1.0,1.7745999939506873,0.15894750000000002
SYNAPSE,300,2,task_007::perturbed_0,perturbed_0,1,957,1.0,1.0,1.0,1.348699996015057,0.007177500000000001
MCP,300,2,task_007::perturbed_0,perturbed_0,1,21193,1.0,1.0,1.0,1.748900001985021,0.15894750000000002
SYNAPSE,300,2,task_007::perturbed_1,perturbed_1,1,957,1.0,1.0,1.0,1.2732000031974167,0.007177500000000001
MCP,300,2,task_007::perturbed_1,perturbed_1,1,21193,1.0,1.0,1.0,1.651099999435246,0.15894750000000002
SYNAPSE,300,2,task_008::clean,clean,1,970,1.0,1.0,1.0,1.230200010468252,0.007275
MCP,300,2,task_008::clean,clean,1,21193,1.0,1.0,1.0,1.676699990639463,0.15894750000000002
SYNAPSE,300,2,task_008::perturbed_0,perturbed_0,1,975,1.0,1.0,1.0,1.3013999996474013,0.0073125
MCP,300,2,task_008::perturbed_0,perturbed_0,1,21193,1.0,1.0,1.0,1.7228999931830913,0.15894750000000002
